MONTH,City,before,after
1,Dallas,0.4596774193548387,0.4923599320882852
1,Las Vegas,0.8225806451612904,0.8251273344651953
1,New York,0.07580645161290323,0.07470288624787776
1,Phoenix,0.6516129032258065,0.5840407470288624
1,San Francisco,0.5870967741935483,0.66723259762309
1,Seattle,0.06451612903225806,0.1348122866894198
2,Dallas,0.43716814159292033,0.4552238805970149
2,Las Vegas,0.7132743362831858,0.7238805970149254
2,New York,0.13628318584070798,0.13059701492537312
2,Phoenix,0.39646017699115044,0.43283582089552236
2,San Francisco,0.5398230088495575,0.5850467289719626
2,Seattle,0.15789473684210525,0.24105461393596986
3,Dallas,0.40161290322580645,0.3701188455008489
3,Las Vegas,0.5,0.44482173174872663
3,New York,0.3016129032258065,0.2903225806451613
3,Phoenix,0.19193548387096773,0.16298811544991512
3,San Francisco,0.5258064516129032,0.5755517826825127
3,Seattle,0.2903225806451613,0.3720136518771331
4,Dallas,0.21833333333333332,0.1368421052631579
4,Las Vegas,0.21666666666666667,0.19824561403508772
4,New York,0.46,0.41754385964912283
4,Phoenix,0.065,0.03333333333333333
4,San Francisco,0.6266666666666667,0.6614035087719298
4,Seattle,0.5,0.44014084507042256
5,Dallas,0.025806451612903226,0.02037351443123939
5,Las Vegas,0.03387096774193549,0.035653650254668934
5,New York,0.31290322580645163,0.29541595925297115
5,Phoenix,0.0032258064516129032,0.0
5,San Francisco,0.717741935483871,0.8098471986417657
5,Seattle,0.41935483870967744,0.46245733788395904
6,Dallas,0.0,0.0
6,Las Vegas,0.005,0.0
6,New York,0.06,0.07017543859649122
6,Phoenix,0.0,0.0
6,San Francisco,0.7183333333333334,0.8105263157894737
6,Seattle,0.36666666666666664,0.3736842105263158
7,Dallas,0.0,0.0
7,Las Vegas,0.0,0.0
7,New York,0.0032258064516129032,0.0050933786078098476
7,Phoenix,0.0,0.0
7,San Francisco,0.7629032258064516,0.8743633276740238
7,Seattle,0.27419354838709675,0.18166383701188454
8,Dallas,0.0,0.0
8,Las Vegas,0.0,0.0
8,New York,0.014516129032258065,0.010186757215619695
8,Phoenix,0.0,0.0
8,San Francisco,0.7032258064516129,0.8471986417657046
8,Seattle,0.24193548387096775,0.1663778162911612
9,Dallas,0.02666666666666667,0.0035087719298245615
9,Las Vegas,0.008333333333333333,0.0
9,New York,0.20833333333333334,0.17192982456140352
9,Phoenix,0.0,0.0
9,San Francisco,0.5783333333333334,0.7052631578947368
9,Seattle,0.4666666666666667,0.3862433862433862
10,Dallas,0.13548387096774195,0.12126537785588752
10,Las Vegas,0.15645161290322582,0.11247803163444639
10,New York,0.5951612903225807,0.5254833040421792
10,Phoenix,0.02258064516129032,0.01757469244288225
10,San Francisco,0.5290322580645161,0.5837742504409171
10,Seattle,0.5645161290322581,0.47079646017699117
11,Dallas,0.4370748299319728,0.44074074074074077
11,Las Vegas,0.6783333333333333,0.6370370370370371
11,New York,0.43333333333333335,0.45555555555555555
11,Phoenix,0.29333333333333333,0.2222222222222222
11,San Francisco,0.5668896321070234,0.6370370370370371
11,Seattle,0.23333333333333334,0.25925925925925924
12,Dallas,0.4854838709677419,0.5394265232974911
12,Las Vegas,0.7983870967741935,0.7813620071684588
12,New York,0.12580645161290321,0.15232974910394265
12,Phoenix,0.6741935483870968,0.6523297491039427
12,San Francisco,0.6516129032258065,0.5985663082437276
12,Seattle,0.0898876404494382,0.08602150537634409